TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,VARIATION1TYPE,VARIATION1NAME,VARIATION1VALUES,VARIATION2TYPE,VARIATION2NAME,VARIATION2VALUES,SKU
"Black Onyx Ring, Natural Stone Ring, Adjustable Ring, Oval Ring, Gift For Her, Birthday Gift, Bridesmaid Gift, Protection Stone, Black Ring","Black Onyx Ring, Natural Stone Ring, Adjustable Ring, Oval Ring, Gift For Her, Birthday Gift, Bridesmaid Gift, Protection Stone, Black Ring

Beautiful Black Onyx natural gemstone oval cabochon 14x10mm mounted on a silver plated adjustable brass ring.

Photos have been enlarged to show close up detail.

Beautifully presented in an organza bag with gemstone information, ready to give as a gift. 

A powerful protection stone, Black Onyx absorbs and transforms negative energy, and helps to prevent the drain of personal energy. Black Onyx aids the development of emotional and physical strength and stamina, especially when support is needed during times of stress, confusion or grief. Black Onyx is wonderful for meditation and dreaming. Black Onyx encourages happiness, good fortune, and fosters wise decision-making. 

Presented in an organza bag ready to give as a gift with Gemstone information.

Find me on Facebook :
https://www.facebook.com/saorsajewelry

Follow me on Instagram :
https://www.instagram.com/saorsajewelleryUK",12.45,GBP,2,"Statement_Ring,Gift_For_Her,Birthday_Gift,adjustable_ring,Promise_ring,Friendship_ring,Black_Onyx_Ring,Protection_gemstone,Bridesmaid_Gift,Graduation_Gift,Oval_ring,Natural_Stone_Ring,Black_Stone_Ring","Onyx,Silver,Brass",https://i.etsystatic.com/5329957/r/il/fa4700/2332554980/il_fullxfull.2332554980_d2da.jpg,https://i.etsystatic.com/5329957/r/il/3d88af/2380146281/il_fullxfull.2380146281_5d7x.jpg,https://i.etsystatic.com/5329957/r/il/1b5475/2332553726/il_fullxfull.2332553726_ec03.jpg,https://i.etsystatic.com/5329957/r/il/d218df/2380146157/il_fullxfull.2380146157_q7jp.jpg,https://i.etsystatic.com/5329957/r/il/1e6400/2380145819/il_fullxfull.2380145819_b564.jpg,https://i.etsystatic.com/5329957/r/il/598c13/2332554528/il_fullxfull.2332554528_lltj.jpg,https://i.etsystatic.com/5329957/r/il/ee02d4/2332554086/il_fullxfull.2332554086_ofzj.jpg,https://i.etsystatic.com/5329957/r/il/0d82f7/2380146729/il_fullxfull.2380146729_c83d.jpg,https://i.etsystatic.com/5329957/r/il/ca9686/2332554676/il_fullxfull.2332554676_mr9r.jpg,https://i.etsystatic.com/5329957/r/il/fc2286/2380145965/il_fullxfull.2380145965_c4p8.jpg,,,,,,,
"Celtic Knot Earrings, Hematite, Black Diamond, Dangle Drop Earrings, Scottish Gifts, Goddess Earrings, Celtic Jewelry, Gemstone Earrings","Celtic Knot Earrings, Hematite, Black Diamond, Dangle Drop Earrings, Scottish Gifts, Celtic Goddess Earrings, Celtic Jewelry, Gemstone Earrings

Handmade with hematite gemstone beads, swarovski black diamond crystals, antique silver celtic design beads, finished with silver plated nickel free kidney earwires.

Hematite is a Semi-Precious Healing Gemstone and considered to be a ""Stone for the Mind"".

It is also a Good Stone For Grounding and Calming, and balances the body, mind & spirit by decreasing Negativity.

Find me on Facebook :
https://www.facebook.com/saorsajewelry

Follow me on Instagram :
https://www.instagram.com/saorsajewelleryUK",8,GBP,2,"Celtic_Earrings,Scottish_Jewelry,Scottish_Gift,Swarovski_Crystals,Black_Diamond,Hematite_Earrings,Celtic_Jewelry,Mothers_day_gift,Dangle_Drop_Earrings,Celtic_Goddess,Healing_Gemstones,Celtic_Knot_Jewelry,Goddess_Earrings","Hematite Beads,Swarovski Black Diamond Bicones,Celtic Knotwork Beads,Antique Silver Celtic Beads,Silver Plated Kidney Earwires",https://i.etsystatic.com/5329957/r/il/94fdee/2324973801/il_fullxfull.2324973801_5o20.jpg,https://i.etsystatic.com/5329957/r/il/6b2b8a/2277373612/il_fullxfull.2277373612_1re1.jpg,https://i.etsystatic.com/5329957/r/il/b51760/2277373674/il_fullxfull.2277373674_6zh9.jpg,https://i.etsystatic.com/5329957/r/il/3a866e/2324974059/il_fullxfull.2324974059_1id1.jpg,,,,,,,,,,,,,
"Black Moonstone Ring, Stainless Steel Ring, Hypoallergenic, Wire Wrapped Ring, Gift For Her, Birthday Gift, Bridesmaid Gifts, New Beginnings","Black Moonstone Ring, Stainless Steel, Hypoallergenic, Wire Wrapped Ring, Gift For Her, Birthday Gift, Bridesmaid Gifts, New Beginnings, Stacking Ring.

A beautiful handmade wire wrapped ring made with a 6mm Black Moonstone gemstone and Stainless  Steel  Hypoallergenic Wire.  

Due to the natural composition of these stones no two are ever the same.  The one you will receive will be the same quality as the one in the photos however the pattern or markings may differ. 

All photos have been enlarged to show close up details. 

Please check out the ring size charts the in the photos to help you choose the correct size of ring.  If you are unsure of your ring size please see chart in the photos for mearuring instructions.  I can make these rings from US sizes 5 to 13 including half sizes.

Black Moonstone holds the energy of the New Moon and new beginnings. Whether it's the start of a new project, a new pregnancy or setting new intentions, this is a wonderful stone to connect with during that new moon period. 

When you work with black moonstone in sync with the moon's cycle, it helps to cut through your internal layers, shedding light on the thoughts and patterns you need to let go of in order to pave your pathway to greatness. It also has a gentle protective and grounding energy that is not as prevalent in other types of Moonstone. 

Presented in an organza bag.

Find me on Facebook :
https://www.facebook.com/saorsajewelry

Follow me on Instagram :
https://www.instagram.com/saorsajewelleryUK",9,GBP,3,"Wire_Wrapped_Ring,Statement_Ring,Gift_For_Her,Healing_Gemstones,Bridesmaid_Gift,Birthday_Gift,Moonstone_Ring,Black_Moonstone_Ring,New_Beginnings,Graduation_Gift,Stacking_Rings,Stackable_Ring,Hypoallergenic_Ring","Moonstone,Stainless steel",https://i.etsystatic.com/5329957/r/il/2677d4/2358610716/il_fullxfull.2358610716_k2r2.jpg,https://i.etsystatic.com/5329957/r/il/0ca4ba/2406210143/il_fullxfull.2406210143_lc3g.jpg,https://i.etsystatic.com/5329957/r/il/6df654/2406210117/il_fullxfull.2406210117_g5hd.jpg,https://i.etsystatic.com/5329957/r/il/e57360/2406210245/il_fullxfull.2406210245_7wwz.jpg,https://i.etsystatic.com/5329957/r/il/9433af/2406210157/il_fullxfull.2406210157_71q7.jpg,https://i.etsystatic.com/5329957/r/il/1039b5/2358610558/il_fullxfull.2358610558_1fjo.jpg,https://i.etsystatic.com/5329957/r/il/b66881/2406210291/il_fullxfull.2406210291_1ckd.jpg,https://i.etsystatic.com/5329957/r/il/ebe3ca/2406209931/il_fullxfull.2406209931_2ese.jpg,https://i.etsystatic.com/5329957/r/il/1b9590/2408095942/il_fullxfull.2408095942_g5nc.jpg,https://i.etsystatic.com/5329957/r/il/099f6a/2455725497/il_fullxfull.2455725497_t5rk.jpg,"Ring size","Ring size","5,5 1/2,6,6 1/2,7,7 1/2,8,8 1/2,9,9 1/2,10,10 1/2,11,11 1/2,12,12 1/2,13",,,,
"Rose Quartz Ring, Promise Ring, Wire Wrapped Ring, Gift For Her, Pink Stone Rings, Healing Jewelry, Bridesmaid Gifts, Birthday Gift, Boho","Rose Quartz Ring, Promise Ring, Wire Wrapped Ring, Gift For Her, Pink Stone Rings, Healing Jewelry, Bridesmaid Gifts, Birthday Gift, Boho 

A stunning handmade wire wrapped ring made with an 8mm genuine rose quartz gemstone, and silver filled wire.

It has been wrapped with 20g wire

Please select size required from drop down menu.  I can make these rings from US sizes 5 to 13 including half sizes.

UK customers, please select size from drop down menu and if you are unsure of your size please contact me.

Rose Quartz is the stone of unconditional love, opens the heart chakra to love in all its forms, and teaches us to love ourselves. Rose Quartz is a soothing and calming stone, is believed to help lower stress and helps to raise self esteem.

Rose Quartz is most often associated with love and fertility and often referred to as the ‘love’ stone. 

 A unique gift for a birthday, bridesmaids, sisters, friends, or a promise ring for somebody special.

I can make custom orders, so please contact me with your ideas or requirements.

Presented in an organza bag.",12,GBP,2,"Wire_Wrapped_Ring,Gift_For_Her,Promise_Ring,Rose_Quartz_Ring,Healing_Gemstones,Pink_Gemstone_Ring,Silver_wire_ring,Bridesmaid_Gifts,Birthday_Gift,Pink_Ring,Boho_Wire_Ring,Fertility,Graduation_Gift","Rose quartz,Copper,Silver",https://i.etsystatic.com/5329957/r/il/6d5db6/2356425373/il_fullxfull.2356425373_owfl.jpg,https://i.etsystatic.com/5329957/r/il/a0e0f2/2189268420/il_fullxfull.2189268420_f83a.jpg,https://i.etsystatic.com/5329957/r/il/da9007/2189269010/il_fullxfull.2189269010_f6ny.jpg,https://i.etsystatic.com/5329957/r/il/bbd968/2189269926/il_fullxfull.2189269926_noof.jpg,https://i.etsystatic.com/5329957/r/il/c98daa/2236815727/il_fullxfull.2236815727_ljy2.jpg,https://i.etsystatic.com/5329957/r/il/45f5ed/2189270044/il_fullxfull.2189270044_7awt.jpg,https://i.etsystatic.com/5329957/r/il/c46d90/2189270134/il_fullxfull.2189270134_iujh.jpg,https://i.etsystatic.com/5329957/r/il/78e456/2189270194/il_fullxfull.2189270194_tkuk.jpg,,,"Ring size","Ring size","5,5 1/2,6,6 1/2,7,7 1/2,8,8 1/2,9,9 1/2,10,10 1/2,11,11 1/2,12,12 1/2,13",,,,
"Rose Quartz Ring, Silver Ring, Adjustable Ring Gift For Her, Birthday Gift, Bridesmaids Gift, Boho Ring, Large Oval Ring, Pink Stone Ring","Rose Quartz Ring, Silver Ring, Adjustable Ring Gift For Her, Birthday Gift, Bridesmaids Gift, Boho Ring, Large Oval Ring, Pink Stone Ring

Photos have been enlarged to show close up detail. 

Beautiful Pale Baby Pink Rose Quartz large oval gemstone cabochon 18x13mm mounted on a silver plated brass ring.

Due to the natural composition of these stones no two are ever the same,  the one you will receive will be the same high quality as the one in the photos however the pattern or markings may differ. 

This ring is adjustable and will fit all sizes.

Beautifully presented in an organza bag with gemstone information, ready to give as a gift. 

Rose Quartz is the stone of unconditional love, opens the heart chakra to love in all its forms, and teaches us to love ourselves. Rose Quartz is a soothing and calming stone, is believed to help lower stress and helps to raise self esteem.

Rose Quartz is most often associated with love and fertility and often referred to as the ‘love’ stone. 

Find me on Facebook :
https://www.facebook.com/saorsajewelry

Follow me on Instagram :
https://www.instagram.com/saorsajewelleryUK",12,GBP,2,"Gift_For_Her,adjustable_ring,Rose_quartz_ring,Love_gemstone,Large_oval_ring,Birthday_Gift,Bridesmaid_Gifts,Pink_Stone_Ring,Silver_Ring,Boho_Ring,Stacking_Ring,Statement_Ring,Rose_Ring","Rose quartz,Brass,Silver",https://i.etsystatic.com/5329957/r/il/715ed3/2421976620/il_fullxfull.2421976620_lhzh.jpg,https://i.etsystatic.com/5329957/r/il/c28bdd/2353266585/il_fullxfull.2353266585_tg5s.jpg,https://i.etsystatic.com/5329957/r/il/60101a/2305665356/il_fullxfull.2305665356_c522.jpg,https://i.etsystatic.com/5329957/r/il/20b784/2305665326/il_fullxfull.2305665326_nr8i.jpg,https://i.etsystatic.com/5329957/r/il/072f1b/2353266727/il_fullxfull.2353266727_pnep.jpg,https://i.etsystatic.com/5329957/r/il/ce0e68/2305674700/il_fullxfull.2305674700_fnt2.jpg,,,,,,,,,,,
"Arrow Bracelet, Black String Bracelet, Adjustable, Arrow Jewelry, Friendship Gifts, Protection, Stacking Bracelets, Minimalist","Arrow Bracelet, Black String Bracelet, Adjustable, Arrow Jewelry, Friendship Gifts, Protection, Stacking Bracelets, Minimalist.

Handmade adjustable bracelet with 1mm black nylon waxed cord, and an antique silver plated arrow charm.

A solitary arrow represents defense and protection from harm. It can also be used as a symbol of movement or direction.  When an arrow points to the left it means warding off evil, pointing to the right means protection and an arrow pointing down means peace.",4,GBP,2,"Adjustable,Arrow_Jewelry,Friendship_Gifts,Minimalist,Arrow_Bracelet,mens_bracelet,bracelet_for_women,womens_bracelet,Protection_Jewelry,Black_Arrow_Bracelet,Black_String,Black_Arrow,Stacking_Bracelets","Nylon,Silver",https://i.etsystatic.com/5329957/r/il/baf68b/1644863657/il_fullxfull.1644863657_f6vs.jpg,https://i.etsystatic.com/5329957/r/il/ea9590/1644863479/il_fullxfull.1644863479_5fdy.jpg,https://i.etsystatic.com/5329957/r/il/266f87/1644863283/il_fullxfull.1644863283_2uki.jpg,https://i.etsystatic.com/5329957/r/il/9ac026/1597430016/il_fullxfull.1597430016_r4ol.jpg,https://i.etsystatic.com/5329957/r/il/f58ebc/1644864207/il_fullxfull.1644864207_hx0t.jpg,,,,,,,,,,,,
"Rose Quartz Ring, Love Gemstone, Natural Stone Ring, Adjustable, Statement Ring, Gift For Her, Bridesmaid Gifts, Birthday Gift, Graduation","Rose Quartz Ring, Love Gemstone, Natural Stone Ring, Adjustable, Statement Ring, Gift For Her, Bridesmaid Gifts, Birthday Gift, Graduation

Beautiful Pale Baby Pink Rose Quartz gemstone cabochon 14x10mm mounted on a silver plated brass ring.

Photos have been enlarged to show close up detail. 

This ring is adjustable and will fit all sizes.

Beautifully presented in an organza bag with gemstone information, ready to give as a gift. 

Rose Quartz is the stone of unconditional love, opens the heart chakra to love in all its forms, and teaches us to love ourselves. Rose Quartz is a soothing and calming stone, is believed to help lower stress and helps to raise self esteem.

Rose Quartz is most often associated with love and fertility and often referred to as the ‘love’ stone. 

Find me on Facebook :
https://www.facebook.com/saorsajewelry

Follow me on Instagram :
https://www.instagram.com/saorsajewelleryUK",12.45,GBP,3,"Statement_Ring,Gift_For_Her,adjustable_ring,Cabochon_Ring,Promise_ring,Gifts_for_women,Rose_quartz_ring,Baby_pink_ring,Love_gemstone,Graduation_Gift,Fertility_Gemstone,Bridesmaid_Gifts,Natural_Stone_Ring","Rose quartz,Silver",https://i.etsystatic.com/5329957/r/il/6b0382/2353308563/il_fullxfull.2353308563_sl00.jpg,https://i.etsystatic.com/5329957/r/il/41cc75/2353308625/il_fullxfull.2353308625_i8hp.jpg,https://i.etsystatic.com/5329957/r/il/8f4624/2305707578/il_fullxfull.2305707578_nakl.jpg,https://i.etsystatic.com/5329957/r/il/5fa7f6/2305707688/il_fullxfull.2305707688_hhj7.jpg,https://i.etsystatic.com/5329957/r/il/134ef5/2353308723/il_fullxfull.2353308723_l9o9.jpg,https://i.etsystatic.com/5329957/r/il/c24994/2305707444/il_fullxfull.2305707444_pc32.jpg,,,,,,,,,,,
"Moonstone Ring, Adjustable, Statement Ring, Cats Eye Ring, Moonstone Jewelry, Bridesmaid Gift, Birthday Gift, Gift For Her, Twilight Jewelry","This gorgeous statement ring is handmade with a white cats eye vintage glass moonstone effect cabochon 14x10mm and an adjustable silver plated brass split shank ring base.

The cabochon is made from glass, has a beautiful sheen (and is very very pretty) and is not a real gemstone.

The picture does not do the ring justice.

A perfect gift for Twilight fans, similar to the ring Bella wears in the movie.

Find me on Facebook :
https://www.facebook.com/saorsajewelry

Follow me on Instagram :
https://www.instagram.com/saorsajewelleryUK",10,GBP,3,"Moonstone_Ring,Twilight_Jewelry,Vintage_Cabochon,Twilight_Fans_Gifts,Moonstone_jewelry,White_opal_ring,Promise_Ring,Bridesmaid_Gift,Birthday_Gift,Bella's_Ring,Adjustable_Ring,Bella_Swan_Ring,Bella_Moonstone_Ring",Silver,https://i.etsystatic.com/5329957/r/il/449371/2298958926/il_fullxfull.2298958926_q06w.jpg,https://i.etsystatic.com/5329957/r/il/1c6314/2298957500/il_fullxfull.2298957500_pre2.jpg,https://i.etsystatic.com/5329957/r/il/56e4b1/947811502/il_fullxfull.947811502_3vwn.jpg,https://i.etsystatic.com/5329957/r/il/4421c0/994357427/il_fullxfull.994357427_97o4.jpg,https://i.etsystatic.com/5329957/r/il/c4bfb7/947811624/il_fullxfull.947811624_7vak.jpg,https://i.etsystatic.com/5329957/r/il/60c7bf/947811676/il_fullxfull.947811676_gxz9.jpg,,,,,,,,,,,
"Turquoise Ring, Stainless Steel Ring, Wire Wrapped Ring, Boho, Spiral Ring, Hypoallergenic, Birthday Gift, Gemstone Ring, Birthstone Ring","Turquoise Ring, Stainless Steel, Wire Wrapped Ring, Boho, Spiral Ring, Hypoallergenic, Birthday Gift, Gemstone Ring, December Birthstone  Ring

Beautiful Turquoise statement ring handmade with stainless steel wire, and a genuine turquoise 8mm bead. This ring is very durable, hypoallergenic, and will not tarnish.

Due to the natural composition of these stones no two are ever the same.  The one you will receive will be the same quality as the one in the photos however the pattern or markings may differ. 

All photos have been enlarged to show close up details. 

Please check out the ring size charts the in the photos to help you choose the correct size of ring.  If you are unsure of your ring size please see chart in the photos for mearuring instructions.  I can make these rings from US sizes 5 to 13 including half sizes.

Turquoise is the birthstone for December and this would be a perfect gift for a December Birthday, or as a friendship, or Mother's Day Gift.

Turquoise represents the 5th Chakra (throat), is known as a Power Stone and is believed to strengthen, clear blockages, align the chakras, and cleanse the energy centres. Turquoise is good for communication, creative expression, courage, compassion, wisdom, love, friendship and romance.

Presented in an organza bag ready for gifting, with gemstone information.",10,GBP,3,"Statement_Ring,Gift_For_Her,Birthday_Gift,Boho_Ring,Turquoise_Ring,turquoise_jewelry,Wire_Wrapped_Ring,Gemstone_Ring,Stainless_Steel_Wire,Friendship_Gift,Hypoallergenic_Ring,Spiral_Ring,Graduation_Gifts","Turquoise,Stainless steel",https://i.etsystatic.com/5329957/r/il/dbba44/2422849474/il_fullxfull.2422849474_cpsi.jpg,https://i.etsystatic.com/5329957/r/il/d70702/2470475105/il_fullxfull.2470475105_qqpe.jpg,https://i.etsystatic.com/5329957/r/il/fd6dbf/2470474949/il_fullxfull.2470474949_4il7.jpg,https://i.etsystatic.com/5329957/r/il/14d6ab/2422847342/il_fullxfull.2422847342_2clj.jpg,https://i.etsystatic.com/5329957/r/il/f2df42/2470475249/il_fullxfull.2470475249_jj7v.jpg,https://i.etsystatic.com/5329957/r/il/5e6ff8/2422847592/il_fullxfull.2422847592_fv39.jpg,https://i.etsystatic.com/5329957/r/il/6943e7/2470475405/il_fullxfull.2470475405_m5m5.jpg,https://i.etsystatic.com/5329957/r/il/06f245/2470475267/il_fullxfull.2470475267_o5ha.jpg,https://i.etsystatic.com/5329957/r/il/b76e76/2408111594/il_fullxfull.2408111594_9173.jpg,https://i.etsystatic.com/5329957/r/il/5ed897/2408111644/il_fullxfull.2408111644_c92g.jpg,"Ring size","Ring size","5,5 1/2,6,6 1/2,7,7 1/2,8,8 1/2,9,9 1/2,10,10 1/2,11,11 1/2,12,12 1/2,13",,,,
"Twilight Bracelet, Wolf Charm Bracelet, Moonstone Ring, Swarovski Crystal Heart, Twilight Jewelry, Twilight Saga Gifts, Wolf Jewelry","Twilight Bracelet, Wolf Charm Bracelet, Moonstone Ring, Swarovski Crystal Heart, Twilight Jewelry, Twilight Saga Gifts, Wolf Jewelry

Swarovski Crystal Xilion 6228 14mm Heart & Coppertone Wolf Graduation Charm Bracelet, Handmade With Silver Plated Chain and Antique Silver Heart Toggle Clasp.  

Bracelet Length : Please select from drop down menu.

Silvertone Plated Adjustable Ring is Handmade With White Opal Cabochon Moonstone Effect 

The Cabochon is Made From Glass, Has a Beautiful Sheen ( Is Very Very Pretty) and is Not a Real Gemstone!!

The Picture Does Not Do The Ring Justice!!!

Similar to, and inspired by the bracelet Bella receives as a gift in the Twilight movie.

***Items Come Beautifully Presented in a Gift Box***

Find me on Facebook :
https://www.facebook.com/saorsajewelry

Follow me on Instagram :
https://www.instagram.com/saorsajewelleryUK",28,GBP,3,"Twilight_Bracelet,Twilight_Fan_Gifts,Moonstone_Ring,Twilight_Jewelry,Bella_Bracelet,Wolf_Bracelet,Wolf_Jewelry,Bella's_Ring,Swarovski_Heart,Heart_Charm_Bracelet,Bella's_Bracelet,Edward's_Heart,Jacob_Wolf_Charm",Silver,https://i.etsystatic.com/5329957/r/il/758f78/1950872827/il_fullxfull.1950872827_r4uu.jpg,https://i.etsystatic.com/5329957/r/il/4ad5d4/1903336180/il_fullxfull.1903336180_n0f0.jpg,https://i.etsystatic.com/5329957/r/il/f48f12/1950872939/il_fullxfull.1950872939_h3wv.jpg,https://i.etsystatic.com/5329957/r/il/a80737/1903336058/il_fullxfull.1903336058_sqk0.jpg,,,,,,,Length,"Bracelet length","6,6.5,7,7.5,8",,,,
